environment,characteristic,challenge_approach,role,adversity_reaction,animal
grasslands,leadership,headon,leader,confront,lion
grasslands,leadership,headon,leader,confront,lion
grasslands,leadership,headon,leader,confront,lion
grasslands,leadership,headon,leader,confront,lion
grasslands,leadership,headon,leader,confront,lion
woodlands,determination,tenaciously,supporter,persist,beaver
woodlands,determination,tenaciously,supporter,persist,beaver
woodlands,determination,tenaciously,supporter,persist,beaver
woodlands,determination,tenaciously,supporter,persist,beaver
woodlands,determination,tenaciously,supporter,persist,beaver
forests,intelligence,strategically,observer,intellect,raven
forests,intelligence,strategically,observer,intellect,raven
forests,intelligence,strategically,observer,intellect,raven
forests,intelligence,strategically,observer,intellect,raven
forests,intelligence,strategically,observer,intellect,raven
grasslands,determination,tenaciously,leader,persist,raven
forests,leadership,strategically,observer,confront,lion
woodlands,intelligence,headon,supporter,intellect,beaver
grasslands,intelligence,tenaciously,supporter,intellect,lion
forests,leadership,strategically,leader,persist,beaver
woodlands,determination,headon,observer,confront,raven
grasslands,intelligence,headon,leader,intellect,beaver
forests,determination,strategically,supporter,confront,lion
woodlands,leadership,tenaciously,observer,persist,raven
grasslands,determination,strategically,supporter,intellect,beaver
